Timecode List:,00:00:01.251,00:00:08.550,00:00:11.511,00:00:13.222,00:00:28.487,00:00:40.040,00:00:47.839,00:01:00.477,00:01:04.314,00:01:07.150,00:01:08.902,00:01:24.376,00:01:31.091,00:01:37.055,00:01:38.557,00:01:45.022,00:02:07.586,00:02:13.091,00:02:24.895,00:02:34.654,00:02:35.989,00:02:43.080,00:02:52.881,00:02:55.300,00:02:59.179,00:03:07.813,00:03:10.107,00:03:13.151,00:03:18.657,00:03:21.368,00:03:22.702,00:03:29.501,00:03:35.298,00:03:48.186,00:03:52.858,00:03:59.448,00:04:02.033,00:04:13.295,00:04:17.340,00:04:18.675,00:04:24.973,00:04:29.269,00:04:30.729,00:04:36.276,00:04:42.908,00:04:48.079,00:04:49.664,00:04:55.921,00:05:00.258,00:05:09.851,00:05:18.527,00:05:27.869,00:05:31.998,00:05:43.593,00:05:49.015,00:05:55.105,00:06:00.318,00:06:02.279,00:06:03.863,00:06:09.119,00:06:15.792,00:06:27.804,00:06:29.556,00:06:36.521,00:06:41.276,00:06:44.988,00:06:46.406,00:07:05.759,00:07:09.971,00:07:18.396,00:07:25.612,00:07:26.946,00:07:28.907,00:07:40.085,00:07:46.966,00:07:55.433,00:08:02.148,00:08:07.278,00:08:09.489,00:08:10.824,00:08:13.034,00:08:20.125,00:08:21.459,00:08:22.836,00:08:32.429,00:08:58.079
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
71,10512,00:07:18.396,438.396,10684,00:07:25.612,445.612,173,00:00:07.216,7.216
72,10685,00:07:25.612,445.612,10716,00:07:26.946,446.946,32,00:00:01.335,1.335
73,10717,00:07:26.946,446.946,10763,00:07:28.907,448.907,47,00:00:01.960,1.960
74,10764,00:07:28.907,448.907,11031,00:07:40.085,460.085,268,00:00:11.178,11.178
75,11032,00:07:40.085,460.085,11196,00:07:46.966,466.966,165,00:00:06.882,6.882
76,11197,00:07:46.966,466.966,11399,00:07:55.433,475.433,203,00:00:08.467,8.467
77,11400,00:07:55.433,475.433,11560,00:08:02.148,482.148,161,00:00:06.715,6.715
78,11561,00:08:02.148,482.148,11683,00:08:07.278,487.278,123,00:00:05.130,5.130
79,11684,00:08:07.278,487.278,11736,00:08:09.489,489.489,53,00:00:02.211,2.211
80,11737,00:08:09.489,489.489,11768,00:08:10.824,490.824,32,00:00:01.335,1.335
81,11769,00:08:10.824,490.824,11821,00:08:13.034,493.034,53,00:00:02.211,2.211
82,11822,00:08:13.034,493.034,11991,00:08:20.125,500.125,170,00:00:07.090,7.090
83,11992,00:08:20.125,500.125,12023,00:08:21.459,501.459,32,00:00:01.335,1.335
84,12024,00:08:21.459,501.459,12056,00:08:22.836,502.836,33,00:00:01.376,1.376
85,12057,00:08:22.836,502.836,12286,00:08:32.429,512.429,230,00:00:09.593,9.593
86,12287,00:08:32.429,512.429,12901,00:08:58.079,538.079,615,00:00:25.651,25.651
87,12902,00:08:58.079,538.079,13191,00:09:10.175,550.175,290,00:00:12.095,12.095
